symbol,header,message,date,amount
SYY,Dividend,SYY announced a cash dividend of 0.51 with an ex-date of Apr. 4 2025,2025-04-04,0.51
STLA,Dividend,STLA announced a cash dividend of 0.68 with an ex-date of Apr. 23 2025,2025-04-23,0.68
GEHC,Dividend,GEHC announced a cash dividend of 0.035 with an ex-date of Apr. 25 2025,2025-04-25,0.035
GIS,Dividend,GIS announced a cash dividend of 0.60 with an ex-date of Apr. 10 2025,2025-04-10,0.60
PPERY,Dividend,PPERY announced a cash dividend of 1.125 with an ex-date of Apr. 15 2025,2025-04-15,1.125
RJF,Dividend,RJF announced a cash dividend of 0.50 with an ex-date of Apr. 1 2025,2025-04-01,0.50
ANYYY,Dividend,ANYYY announced a cash dividend of 1.024 with an ex-date of Apr. 23 2025,2025-04-23,1.024
WTW,Dividend,WTW announced a cash dividend of 0.92 with an ex-date of Mar. 31 2025,2025-03-31,0.92
AVB,Dividend,AVB announced a cash dividend of 1.75 with an ex-date of Mar. 31 2025,2025-03-31,1.75
EIX,Dividend,EIX announced a cash dividend of 0.827 with an ex-date of Apr. 7 2025,2025-04-07,0.827
MPWR,Dividend,MPWR announced a cash dividend of 1.56 with an ex-date of Mar. 31 2025,2025-03-31,1.56
CAH,Dividend,CAH announced a cash dividend of 0.506 with an ex-date of Apr. 1 2025,2025-04-01,0.506
STT,Dividend,STT announced a cash dividend of 0.76 with an ex-date of Apr. 1 2025,2025-04-01,0.76
FITB,Dividend,FITB announced a cash dividend of 0.37 with an ex-date of Mar. 31 2025,2025-03-31,0.37
EQR,Dividend,EQR announced a cash dividend of 0.692 with an ex-date of Mar. 31 2025,2025-03-31,0.692
NUE,Dividend,NUE announced a cash dividend of 0.55 with an ex-date of Mar. 31 2025,2025-03-31,0.55
NVZMY,Dividend,NVZMY announced a cash dividend of 0.611 with an ex-date of Apr. 7 2025,2025-04-07,0.611
WPM,Dividend,WPM announced a cash dividend of 0.165 with an ex-date of Apr. 1 2025,2025-04-01,0.165
VLTO,Dividend,VLTO announced a cash dividend of 0.11 with an ex-date of Mar. 31 2025,2025-03-31,0.11
VTR,Dividend,VTR announced a cash dividend of 0.48 with an ex-date of Mar. 31 2025,2025-03-31,0.48
WST,Dividend,WST announced a cash dividend of 0.21 with an ex-date of Apr. 30 2025,2025-04-30,0.21
